link	isbn	annotation	bbk	ydk	bibl_record	title	publishing	year	pages	book_type	lvl_education	author	discipline
https://znanium.com/catalog/document?id=424745	978-5-91292-428-6	Монография отражает результаты диссертационного исследования и исследований авторов по проблемам информационного обеспечения в туризме, формирования системы информационного обеспечения системы продвижения туристских дестинаций в условиях цифровой трансформации. Проанализирована нормативно-правовая база информационного обеспечения туризма в России, даны рекомендации по ее совершенствованию в условиях цифровой трансформации. На основании проведенного опроса потребителей определен портрет потребителя и паттерны его поведения на цифровом туристском рынке. На основании анализа отечественных и зарубежных практик продвижения туристских дестинаций разработаны методические рекомендации по созданию интернет-сайта как ключевого элемента системы продвижения туристских дестинаций. Рассмотрен пример реализации инновационного технического решения для интернет-сайта дестинации на основе механизма государственно-частного партнерства. Полученные результаты могут быть использованы туристскими администрациями всех уровней, туристско-информационными центрами, а также организациями сферы туризма и гостеприимства при проектировании систем информационного обеспечения туризма и продвижения туристских дестинаций. Для научных работников, преподавателей, аспирантов, студентов, специалистов туристско-рекреационной сферы, работников туристских администраций и широкого круга читателей.	[('6543', 'Экономика общественного питания. Экономика гостиничного хозяйства. Экономика туризма')]	[('004', 'Информационные технологии. Вычислительная техника...'), ('338', 'Эк. положение. Эк. политика. Управление и планирование в эк-е. Производство. Услуги. Цены')]	Сердюков, С. Д. Информационное обеспечение и продвижение туристской дестинации в условиях цифровой трансформации : монография / С. Д. Сердюков, Г. М. Романова, Н. К. Сердюкова ; под науч. ред. Г. М. Романовой. - Москва : Первое экономическое издательство, 2022. - 172 с. - ISBN 978-5-91292-428-6. - Текст : электронный. - URL: https://znanium.com/catalog/product/1974308 (дата обращения: 14.01.2023). – Режим доступа: по подписке.	Информационное обеспечение и продвижение туристской дестинации в условиях цифровой трансформации	Первое экономическое издательство	2022	172	Монография	ВО — Магистратура	Сердюков Сергей Дмитриевич, Романова Галина Максимовна, Сердюкова Надежда Константиновна	['Сети и телекоммуникации', 'Методы управления веб-проектами']
https://znanium.com/catalog/document?id=424643	978-5-8158-2275-7	Учебное пособие содержит пять теоретических разделов по основам объектно-ориентированного подхода в прикладных задачах обработки сигналов и изображений. Каждый раздел включает практические задания для самостоятельной работы и контрольные вопросы. Для студентов специальности 11.05.01 «Радиоэлектронные системы и комплексы», направлений подготовки 11.04.01 «Радиотехника», 12.03.04, 12.04.04 «Биотехнические системы и технологии», 09.03.02, 09.04.02 «Информационные системы и технологии», 15.03.01, 15.04.01«Машиностроение».	[('3295', 'Радиолокация'), ('3297', 'Вычислительная техника')]	[('004', 'Информационные технологии. Вычислительная техника...'), ('621', 'Общее машиностроение. Ядерная техника. Электротехника. Технология машиностроения в целом')]	Применение объектно-ориентированного программирования в задачах обработки сигналов и изображений с элементами искусственного интеллекта : учебное пособие / А. А. Баев, К. О. Иванов, Ю. А. Ипатов, А. Н. Леухин ; Министерство науки и высшего образования Российской Федерации, ФГБОУ ВО «Поволжский государственный технологический университет». - Йошкар-Ола : Поволжский государственный технологический университет, 2022. - 206 с. - ISBN 978-5-8158-2275-7. - Текст : электронный. - URL: https://znanium.com/catalog/product/1972681 (дата обращения: 14.01.2023). – Режим доступа: по подписке.	Применение объектно-ориентированного программирования в задачах обработки сигналов и изображений с элементами искусственного интеллекта	Поволжский государственный технологический университет	2022	206	Учебное пособие	ВО — Бакалавриат	Баев Алексей Александрович, Иванов Константин Олегович, Ипатов Юрий Аркадьевич, Леухин Анатолий Николаевич	['Сети и телекоммуникации', 'Методы управления веб-проектами']
https://znanium.com/catalog/document?id=424392	978-5-7038-4878-4	Приведены базовые теоретические сведения об архитектуре программируемых систем на кристалле, инструментах интегрированной среды проектирования. Представлен ряд учебных проектов для платформ PSoC (Cypress), иллюстрирующих технологию синтеза аппаратной конфигурации системы и разработки программного обеспечения. Для студентов МГТУ им. Н. Э. Баумана, обучающихся по направлению подготовки 09.03.01 «Информатика и вычислительная техника» (уровень бакалавриата) и 09.04.01 «Информатика и вычислительная техника» (уровень магистратуры).	[('3297', 'Вычислительная техника')]	[('004', 'Информационные технологии. Вычислительная техника...')]	Гудзенко, Д. Ю. Введение в архитектуру и проектирование систем на кристалле : учебное пособие / Д. Ю. Гудзенко, В. Я. Хартов. - Москва : МГТУ им. Баумана, 2018. - 102 с. - ISBN 978-5-7038-4878-4. - Текст : электронный. - URL: https://znanium.com/catalog/product/1963345 (дата обращения: 14.01.2023). – Режим доступа: по подписке.	Введение в архитектуру и проектирование систем на кристалле	Московский государственный технический университет им. Баумана	2018	102	Учебное пособие	ВО — Бакалавриат	Гудзенко Дмитрий Юрьевич, Хартов Вячеслав Яковлевич	['Мультимедиатехнологии', 'Базы данных']
https://znanium.com/catalog/document?id=424381	978-5-7038-4903-3	"Рассмотрены вопросы, связанные с использованием системы автоматизированного проектирования SolidWorks в курсе ""Инженерная графика"": построение электронных геометрических моделей и выполнение электронных чертежей деталей.
Издание подготовлено с учетом требований государственных стандартов Единой системы конструкторской документации на основе опыта преподавания дисциплины ""Компьютерная графика"" на кафедре ""Инженерная графика"" МГТУ им. Н. Э. Баумана.
Для студентов высших технических учебных заведений."	[('302', 'Проектирование')]	[('744', 'Черчение. Геометрическое, техническое рисование')]	Гузненков, В. Н. SolidWorks 2016. Трехмерное моделирование деталей и выполнение электронных чертежей : учебное пособие / В. Н. Гузненков, П. А. Журбенко, Т. П. Бондарева. - 2-е изд. - Москва : МГТУ им. Баумана, 2018. - 128 с. - ISBN 978-5-7038-4903-3. - Текст : электронный. - URL: https://znanium.com/catalog/product/1963344 (дата обращения: 14.01.2023). – Режим доступа: по подписке.	Информационное обеспечение и продвижение туристской дестинации в условиях цифровой трансформации	Первое экономическое издательство	2022	172	Монография	ВО — Магистратура	Сердюков Сергей Дмитриевич, Романова Галина Максимовна, Сердюкова Надежда Константиновна	['Сети и телекоммуникации', 'Методы управления веб-проектами']
https://znanium.com/catalog/document?id=424207	978-5-7996-3015-7	Изложены основы машинного обучения, а также история его появления. Даны определения основным понятиям: выборка, объекты выборки, параметры, функционал ошибки и прочее. Описаны основы градиентного спуска и его модификаций, основные алгоритмы обучения с учителем и обучения без учителя.	[('3297', 'Вычислительная техника')]	[('004', 'Информационные технологии. Вычислительная техника...')]	Лимановская, О. В. Основы машинного обучения : учебное пособие / О. В. Лимановская, Т. И. Алферьева ; Мин-во науки и высш. образования РФ. - Екатеринбург : Изд-во Уральского ун-та, 2020. - 88 с. - ISBN 978-5-7996-3015-7. - Текст : электронный. - URL: https://znanium.com/catalog/product/1960910 (дата обращения: 14.01.2023). – Режим доступа: по подписке.	Применение объектно-ориентированного программирования в задачах обработки сигналов и изображений с элементами искусственного интеллекта	Поволжский государственный технологический университет	2022	206	Учебное пособие	ВО — Бакалавриат	Баев Алексей Александрович, Иванов Константин Олегович, Ипатов Юрий Аркадьевич, Леухин Анатолий Николаевич	['Сети и телекоммуникации', 'Методы управления веб-проектами']
https://znanium.com/catalog/document?id=424204	978-5-7996-2985-4	В пособии рассмотрены интерфейсы и протоколы промышленных сетей, применяемые в области автоматизации технологических процессов и производств. Для каждой из приведенных технологий даны описание, характеристики, области применения. Приведены примеры программирования обмена между устройствами с использованием рассмотренных протоколов на языках С++ и С#.	[('3296', 'Автоматика и телемеханика')]	[('681', 'Точная механика. Автоматика. Приборостроение')]	Титаев, А. А. Промышленные сети : учебное пособие / А. А. Титаев ; Мин-во науки и высшего образования РФ. - Екатеринбург : Изд-во Уральского ун-та, 2020. - 124 с. - ISBN 978-5-7996-2985-4. - Текст : электронный. - URL: https://znanium.com/catalog/product/1960907 (дата обращения: 14.01.2023). – Режим доступа: по подписке.	Введение в архитектуру и проектирование систем на кристалле	Московский государственный технический университет им. Баумана	2018	102	Учебное пособие	ВО — Бакалавриат	Гудзенко Дмитрий Юрьевич, Хартов Вячеслав Яковлевич	['Мультимедиатехнологии', 'Базы данных']
https://znanium.com/catalog/document?id=424020	978-5-7038-3015-4	"Рассмотрены физические основы цветовосприятия и особенности самых распространенных цветовых моделей. Дано представление о принципах измерения цвета и калибровки устройств ввода-вывода. Подробно описаны технические средства компьютерной графики и особенности графических устройств современных вычислительных систем. Изложены алгоритмы растровой графики и форматы графических файлов. Отдельная глава посвящена математическим моделям кривых, поверхностей и тел.
Содержание книги соответствует курсу лекций, который авторы читают в МГТУ им. Н.Э. Баумана.
Для студентов, обучающихся по различным направлениям и специализациям современных информационных технологий. Может быть полезна специалистам по системам автоматизированного проектирования, разработчикам игр, программистам, пользователям современных графических пакетов."	[('3297', 'Вычислительная техника')]	[('004', 'Информационные технологии. Вычислительная техника...')]	Божко, А. Н. Компьютерная графика : учебное пособие / А. Н. Божко, Д. М. Жук, В. Б. Маничев. - Москва : МГТУ им. Баумана, 2007. - 394 с. - ISBN 978-5-7038-3015-4. - Текст : электронный. - URL: https://znanium.com/catalog/product/1958395 (дата обращения: 14.01.2023). – Режим доступа: по подписке.	Информационное обеспечение и продвижение туристской дестинации в условиях цифровой трансформации	Первое экономическое издательство	2022	172	Монография	ВО — Магистратура	Сердюков Сергей Дмитриевич, Романова Галина Максимовна, Сердюкова Надежда Константиновна	['Сети и телекоммуникации', 'Методы управления веб-проектами']
https://znanium.com/catalog/document?id=423851	978-5-16-018017-5	"В монографии рассмотрены теория, алгоритмы и практические методы реализации цифровой обработки и распознавания речевых сигналов. Представлены основы математического анализа цифровых сигналов, необходимые для обработки речи. Кратко изложена акустическая теория речеобразования с построением общей дискретной модели. Рассмотрены основные характерные признаки речевых сигналов, а также методы их выделения. Подробно описаны скрытые марковские модели и архитектура традиционных систем распознавания на их основе. Рассмотрены взвешенные конечные преобразователи, использующиеся для повышения эффективности и ускорения процесса декодирования акустических сигналов. Представлены основные архитектуры искусственных нейронных сетей и примеры основанных на них интегральных (end-to-end) систем распознавания речи.
Предназначена для студентов, аспирантов, научных работников и специалистов, занимающихся вопросами обработки речевых сигналов, распознавания образов и искусственного интеллекта."	[('811', 'Прикладное языкознание')]	[('004', 'Информационные технологии. Вычислительная техника...')]	Шишкин, А. Г. Методы цифровой обработки и распознавания речи : монография / А.Г. Шишкин. — Москва : ИНФРА-М, 2023. — 347 с. — (Научная мысль). — DOI 10.12737/1904325. - ISBN 978-5-16-018017-5. - Текст : электронный. - URL: https://znanium.com/catalog/product/1904325 (дата обращения: 14.01.2023). – Режим доступа: по подписке.	Применение объектно-ориентированного программирования в задачах обработки сигналов и изображений с элементами искусственного интеллекта	Поволжский государственный технологический университет	2022	206	Учебное пособие	ВО — Бакалавриат	Баев Алексей Александрович, Иванов Константин Олегович, Ипатов Юрий Аркадьевич, Леухин Анатолий Николаевич	['Сети и телекоммуникации', 'Методы управления веб-проектами']
https://znanium.com/catalog/document?id=423566	978-5-7996-3019-5	"В учебном пособии рассматриваются понятия информации, информационной системы и информационной технологии. Приводится краткий обзор современных информационных систем, используемых в финансово-кредитной
сфере. Подробно разбираются экономические задачи. Даются задания, предназначенные для самостоятельного решения. Для студентов экономических вузов, обучающихся по специальности «Финансы и кредит». Может быть использовано слушателями-магистрантами, изучающими дисциплину «Информационные технологии в финансово-кредитной сфере»."	[('3297', 'Вычислительная техника'), ('6526', 'Финансы. Денежное обращение')]	[('004', 'Информационные технологии. Вычислительная техника...'), ('336', 'Финансы. Налоги')]	Информационные технологии в финансово-кредитной сфере : учебное пособие / Т. В. Бакунова, О. В. Кожевников, Е. А. Трофимова, М. М. Фоминых ; под общ. ред. Е. А. Трофимовой ; Министерство науки и высшего образования Российской Федерации, Уральский федеральный университет. - Екатеринбург : Изд-во Уральского ун-та, 2020. - 114 с. - ISBN 978-5-7996-3019-5. - Текст : электронный. - URL: https://znanium.com/catalog/product/1950219 (дата обращения: 14.01.2023). – Режим доступа: по подписке.	Введение в архитектуру и проектирование систем на кристалле	Московский государственный технический университет им. Баумана	2018	102	Учебное пособие	ВО — Бакалавриат	Гудзенко Дмитрий Юрьевич, Хартов Вячеслав Яковлевич	['Мультимедиатехнологии', 'Базы данных']
https://znanium.com/catalog/document?id=422999	978-5-7996-2018-9	В учебном пособии показаны методы настройки нейронных сетей и распознавания образов для решения задач прикладной экономики, в том числе персептрон Розенблатта, сеть Хемминга, методы линейного программирования. Рассмотрены также методы коллективных решений. Приводятся примеры задач и упражнения. Для магистрантов, изучающих дисциплину «Нейронные сети в прикладной экономике».	[('650', 'Общ. эк. теория. Ист. эк. мысли. Эк. география. Упр-е эк-й. Эк. стат-ка. Учет. Эк анализ')]	[('004', 'Информационные технологии. Вычислительная техника...'), ('330', 'Экономические науки в целом. Политическая экономия')]	Трофимова, Е. А. Нейронные сети в прикладной экономике : учебное пособие / Е. А. Трофимова, В. Д. Мазуров, Д. В. Гилев ; под общ. ред. Е. А . Т рофимовой ; М-во образования и науки Рос. Федерации, Урал. федер. ун-т. - Екатеринбург : Изд-во Уральского ун-та, 2017. - 96 с. - ISBN 978-5-7996-2018-9. - Текст : электронный. - URL: https://znanium.com/catalog/product/1945222 (дата обращения: 14.01.2023). – Режим доступа: по подписке.	Введение в архитектуру и проектирование систем на кристалле	Московский государственный технический университет им. Баумана	2018	102	Учебное пособие	ВО — Бакалавриат	Гудзенко Дмитрий Юрьевич, Хартов Вячеслав Яковлевич	['Мультимедиатехнологии', 'Базы данных']
