дисциплины,теги
Основы программирования,"питон, python, паскаль, pascal, программирование, Delphi, programming"
Основы информационно-коммуникационных технологий,информационно-коммуникационных технологии
Базы данных,базы данных
Сети и телекоммуникации,"сети, сети и телекоммуникации, вычислительные системы, компьютерные сети, телекоммуникации"
Методы управления веб-проектами,"java, джава, методы управления веб-проектами, инновационный менеджмент, компьютерная графика"
Основы технологического предпринимательства,"технологическое предпринимательство, предпринимательство, бизнес"
Мультимедиатехнологии,"растровое изображение, gimp, Adobe Photoshop, векторное изображение, компьютерная графика, фотошоп, inkscape, графика"
Проектирование сайтов,"сайты, проектирование сайтов, юзабилити"
Основы веб-технологий,"java, html, web, джава, xhtml, css, скрипты, сайт, web-сайт, php"
Основы веб-разработки на стороне клиента,"java, html, web, джава, xhtml, css, скрипты, сайт, web-сайт, php"
Основы серверной веб-разработки,"java, html, web, джава, xhtml, css, скрипты, сайт, web-сайт, php, сервер"
Веб-райтинг,"java, html, web, джава, xhtml, css, скрипты, сайт, web-сайт, php"
Основы проектирования информационных систем,"проектирование информационных систем, информационные системы"
Проектирование пользовательских интерфейсов,"пользовательские интерфейсы, интерфейсы"
Веб-разработка на стороне клиента,"java, html, web, джава, xhtml, css, скрипты, сайт, web-сайт, php"
Серверная веб-разработка,"java, html, web, джава, xhtml, css, скрипты, сайт, web-сайт, php, сервер"
Администрирование серверов,"администрирование, сервер"
Веб-разработка,"java, html, web, джава, xhtml, css, скрипты, сайт, web-сайт, php, сервер"
Алгоритмическое программирование,"питон, python, паскаль, pascal, программирование, алгоритмическое программирование, Delphi, programming"
Мобильная разработка,"разработка приложений, разработка мобильных приложений"
